l_FullName,r_FullName,w_FullName,l_win,r_win,l_seniority,l_w/l_ratio,l_height_dif_cm,l_weight_dif_lb,l_reach_dif_cm,l_total_fights_dif,l_stance_pair,r_seniority,r_w/l_ratio,r_height_dif_cm,r_weight_dif_lb,r_reach_dif_cm,r_total_fights_dif,r_stance_pair,weight_class
Jose Aldo,Frankie Edgar,Jose Aldo,1,0,-5,3.875,2.539993,0,5.080002,5,Orthodox vs Orthodox,5,2.090909,-2.539993,0,-5.080002,-5,Orthodox vs Orthodox,Featherweight
Jose Aldo,Alexander Volkanovski,Alexander Volkanovski,0,1,2,3.875,2.539993,-10,-2.539993,11,Orthodox vs Orthodox,-2,13,-2.539993,10,2.539993,-11,Orthodox vs Orthodox,Featherweight
Jose Aldo,Marlon Moraes,Marlon Moraes,0,1,2,3.875,2.539993,0,7.62001,6,Orthodox vs Orthodox,-2,2.3,-2.539993,0,-7.62001,-6,Orthodox vs Orthodox,Bantamweight
Jose Aldo,Marlon Vera,Jose Aldo,1,0,6,3.875,-2.540009,0,0,10,Orthodox vs Switch,-6,2.625,2.540009,0,0,-10,Switch vs Orthodox,Bantamweight
Jose Aldo,Ricardo Lamas,Jose Aldo,1,0,-4,3.875,-2.540009,-10,-2.539993,11,Orthodox vs Orthodox,4,2.5,2.540009,10,2.539993,-11,Orthodox vs Orthodox,Featherweight
Jose Maria,Dustin Ortiz,Dustin Ortiz,0,1,7,5.285714,0,0,,17,Orthodox vs Orthodox,-7,2.375,0,0,,-17,Orthodox vs Orthodox,Flyweight
Jose Quinonez,Louis Smolka,Louis Smolka,0,1,1,1.8,-2.539993,0,2.539993,-12,Southpaw vs Orthodox,-1,1.888889,2.539993,0,-2.539993,12,Orthodox vs Southpaw,Bantamweight
Jose Quinonez,Nathaniel Wood,Nathaniel Wood,0,1,3,1.8,5.080002,-10,0,-11,Southpaw vs Orthodox,-3,4,-5.080002,10,0,11,Orthodox vs Southpaw,Bantamweight
Jose Quinonez,Diego Rivas,Jose Quinonez,1,0,2,1.8,0,-10,0,2,Southpaw vs Orthodox,-2,5,0,10,0,-2,Orthodox vs Southpaw,Bantamweight
Josefine Knutsson,Marnic Mann,Josefine Knutsson,1,0,-3,7,7.62001,0,-10.16,-1,Orthodox vs Southpaw,3,3,-7.62001,0,10.16,1,Southpaw vs Orthodox,"Women's Strawweight"
Joselyne Edwards,Karol Rosa,Karol Rosa,0,1,-1,2.6,7.619995,-10,7.62001,-4,Orthodox vs Orthodox,1,3.4,-7.619995,10,-7.62001,4,Orthodox vs Orthodox,"Women's Bantamweight"
Joselyne Edwards,Ramona Pascual,Joselyne Edwards,1,0,-7,2.6,2.540009,0,10.16,7,Orthodox vs Southpaw,7,1.2,-2.540009,0,-10.16,-7,Southpaw vs Orthodox,"Women's Featherweight"
Joselyne Edwards,Ji Yeon Kim,Joselyne Edwards,1,0,-6,2.6,2.540009,10,-5.080002,2,Orthodox vs Orthodox,6,1.285714,-2.540009,-10,5.080002,-2,Orthodox vs Orthodox,"Women's Bantamweight"
Joselyne Edwards,Lucie Pudilova,Joselyne Edwards,1,0,-1,2.6,0,0,7.62001,-4,Orthodox vs Orthodox,1,1.75,0,0,-7.62001,4,Orthodox vs Orthodox,"Women's Bantamweight"
Joselyne Edwards,Wu Yanan,Joselyne Edwards,1,0,1,2.6,0,0,10.16,-1,Orthodox vs Orthodox,-1,2.166667,0,0,-10.16,1,Orthodox vs Orthodox,"Women's Bantamweight"
Joseph Benavidez,Yasuhiro Urushitani,Joseph Benavidez,1,0,-8,3.5,-2.540009,0,,7,Southpaw vs Southpaw,8,2.625,2.540009,0,,-7,Southpaw vs Southpaw,Flyweight
Joseph Benavidez,Deiveson Figueiredo,Deiveson Figueiredo,0,1,3,3.5,-2.540009,0,-7.619995,12,Southpaw vs Orthodox,-3,7,2.540009,0,7.619995,-12,Orthodox vs Southpaw,Flyweight
Joseph Benavidez,Henry Cejudo,Joseph Benavidez,1,0,3,3.5,0,-10,2.540009,17,Southpaw vs Orthodox,-3,5.333333,0,10,-2.540009,-17,Orthodox vs Southpaw,Flyweight
Joseph Benavidez,Deiveson Figueiredo,Deiveson Figueiredo,0,1,3,3.5,-2.540009,0,-7.619995,12,Southpaw vs Orthodox,-3,7,2.540009,0,7.619995,-12,Orthodox vs Southpaw,Flyweight
