l_FullName,r_FullName,w_FullName,l_win,r_win,l_seniority,l_w/l_ratio,l_height_dif_cm,l_weight_dif_lb,l_reach_dif_cm,l_total_fights_dif,l_stance_pair,r_seniority,r_w/l_ratio,r_height_dif_cm,r_weight_dif_lb,r_reach_dif_cm,r_total_fights_dif,r_stance_pair,weight_class,l_win_difference,r_win_difference
Lisa Ellis,Bec Rawlings,Bec Rawlings,0,1,6,1.363636,-5.080002,-10,2.440002,11," vs Orthodox",-6,0.875,5.080002,10,-2.440002,-11,"Orthodox vs ","Women's Strawweight",0.488636374473572,-0.488636374473572
Lisa Ellis,Felice Herrig,Felice Herrig,0,1,2,1.363636,0,0,-0.1000061,2," vs Orthodox",-2,1.4,0,0,0.1000061,-2,"Orthodox vs ","Women's Strawweight",-3.63636016845703e-02,3.63636016845703e-02
Liudvik Sholinian,Jack Shore,Jack Shore,0,1,5,2.25,5.080002,0,0,-5,Orthodox vs Orthodox,-5,17,-5.080002,0,0,5,Orthodox vs Orthodox,Bantamweight,-14.75,14.75
Livinha Souza,Ashley Yoder,Livinha Souza,1,0,-3,3.5,-10.15999,0,-15.23999,2,Orthodox vs Southpaw,3,1,10.15999,0,15.23999,-2,Southpaw vs Orthodox,"Women's Strawweight",2.5,-2.5
Liz Carmouche,Ronda Rousey,Ronda Rousey,0,1,3,1.857143,-2.539993,-10,0,6,Orthodox vs Orthodox,-3,6,2.539993,10,0,-6,Orthodox vs Orthodox,"Women's Bantamweight",-4.14285719394684,4.14285719394684
Liz Carmouche,Lauren Murphy,Liz Carmouche,1,0,0,1.857143,2.539993,0,-2.539993,-2,Orthodox vs Orthodox,0,2.666667,-2.539993,0,2.539993,2,Orthodox vs Orthodox,"Women's Bantamweight",-0.809523940086365,0.809523940086365
Liz Carmouche,Jennifer Maia,Liz Carmouche,1,0,5,1.857143,5.080002,0,5.080002,-10,Orthodox vs Orthodox,-5,2.333333,-5.080002,0,-5.080002,10,Orthodox vs Orthodox,"Women's Flyweight",-0.476190447807312,0.476190447807312
Liz Carmouche,Miesha Tate,Miesha Tate,0,1,3,1.857143,0,-10,2.539993,-8,Orthodox vs Orthodox,-3,2.111111,0,10,-2.539993,8,Orthodox vs Orthodox,"Women's Bantamweight",-0.253968358039856,0.253968358039856
Liz Carmouche,Katlyn Chookagian,Liz Carmouche,1,0,5,1.857143,-7.619995,0,-5.080002,-3,Orthodox vs Orthodox,-5,3.6,7.619995,0,5.080002,3,Orthodox vs Orthodox,"Women's Bantamweight",-1.74285709857941,1.74285709857941
Liz Carmouche,Alexis Davis,Alexis Davis,0,1,0,1.857143,0,-10,-5.080002,-12,Orthodox vs Orthodox,0,1.909091,0,10,5.080002,12,Orthodox vs Orthodox,"Women's Flyweight",-5.1948070526123e-02,5.1948070526123e-02
Liz Carmouche,Alexis Davis,Alexis Davis,0,1,0,1.857143,0,-10,-5.080002,-12,Orthodox vs Orthodox,0,1.909091,0,10,5.080002,12,Orthodox vs Orthodox,"Women's Bantamweight",-5.1948070526123e-02,5.1948070526123e-02
Liz Carmouche,Lucie Pudilova,Liz Carmouche,1,0,11,1.857143,-5.080002,-10,-2.539993,-2,Orthodox vs Orthodox,-11,1.75,5.080002,10,2.539993,2,Orthodox vs Orthodox,"Women's Flyweight",0.107142806053162,-0.107142806053162
Liz Carmouche,Valentina Shevchenko,Valentina Shevchenko,0,1,4,1.857143,2.539993,0,0,-7,Orthodox vs Southpaw,-4,5.75,-2.539993,0,0,7,Southpaw vs Orthodox,"Women's Flyweight",-3.89285719394684,3.89285719394684
Loik Radzhabov,Esteban Ribovics,Loik Radzhabov,1,0,6,3.4,2.539993,0,0,9,Orthodox vs Orthodox,-6,12,-2.539993,0,0,-9,Orthodox vs Orthodox,Lightweight,-8.59999990463257,8.59999990463257
Loik Radzhabov,Mateusz Rebecki,Mateusz Rebecki,0,1,2,3.4,10.16,0,7.619995,3,Orthodox vs Southpaw,-2,18,-10.16,0,-7.619995,-3,Southpaw vs Orthodox,Lightweight,-14.5999999046326,14.5999999046326
Loma Lookboonmee,Jinh Yu Frey,Loma Lookboonmee,1,0,-11,2.666667,-5.080002,0,-10.16,-9,Orthodox vs Southpaw,11,1.222222,5.080002,0,10.16,9,Southpaw vs Orthodox,"Women's Strawweight",1.44444453716278,-1.44444453716278
Loma Lookboonmee,Elise Reed,Loma Lookboonmee,1,0,-3,2.666667,-5.080002,0,-5.080002,0,Orthodox vs Orthodox,3,1.75,5.080002,0,5.080002,0,Orthodox vs Orthodox,"Women's Strawweight",0.916666746139526,-0.916666746139526
Loopy Godinez,Silvana Gomez Juarez,Loopy Godinez,1,0,-8,3.666667,-2.540009,0,-10.16,-2,Orthodox vs Orthodox,8,2.2,2.540009,0,10.16,2,Orthodox vs Orthodox,"Women's Strawweight",1.46666669845581,-1.46666669845581
Loopy Godinez,Loma Lookboonmee,Loopy Godinez,1,0,3,3.666667,2.539993,0,0,3,Orthodox vs Orthodox,-3,2.666667,-2.539993,0,0,-3,Orthodox vs Orthodox,"Women's Strawweight",1,-1
Loopy Godinez,Elise Reed,Loopy Godinez,1,0,0,3.666667,-2.540009,0,-5.080002,3,Orthodox vs Orthodox,0,1.75,2.540009,0,5.080002,-3,Orthodox vs Orthodox,"Women's Strawweight",1.91666674613953,-1.91666674613953
Loopy Godinez,Jessica Penne,Jessica Penne,0,1,-11,3.666667,-7.62001,0,-15.23999,-8,Orthodox vs Orthodox,11,1.75,7.62001,0,15.23999,8,Orthodox vs Orthodox,"Women's Strawweight",1.91666674613953,-1.91666674613953
Loopy Godinez,Angela Hill,Angela Hill,0,1,-9,3.666667,-2.540009,0,-7.619995,-14,Orthodox vs Orthodox,9,1.153846,2.540009,0,7.619995,14,Orthodox vs Orthodox,Catch Weight,2.51282060146332,-2.51282060146332
Lorenz Larkin,Brad Tavares,Brad Tavares,0,1,1,3,-5.080002,-15,-5.080002,-5,Orthodox vs Orthodox,-1,2.222222,5.080002,15,5.080002,5,Orthodox vs Orthodox,Middleweight,0.777777671813965,-0.777777671813965
Lorenz Larkin,Constantinos Philippou,Constantinos Philippou,0,1,-7,3,0,-15,-2.539993,6,Orthodox vs Orthodox,7,2.6,0,15,2.539993,-6,Orthodox vs Orthodox,Middleweight,0.400000095367432,-0.400000095367432
